id,confA,confB,confC,confD,signDesk,poster,wc1,wc2,wc3,room1,room2,room3,room4,room5,room6,exhibition,mainMeeting,serviceRoom,restaurant,relaxRoom,escalator,importExport,secondAisle,firstAisle,idstaytimesum
10000,0,5220,0,0,344,888,401,326,90,1255,0,799,0,0,0,2961,9066,9,1087,3134,216,0,353,4053,30202
10002,2136,0,5238,0,388,432,108,104,291,1268,0,605,0,0,0,2328,9141,9,600,3358,365,0,951,3240,30562
10003,0,0,4303,0,340,628,1004,526,308,1248,0,0,0,0,0,0,9882,0,1176,6631,351,0,520,2847,29764
10004,0,0,5882,0,221,109,296,299,365,842,0,0,0,0,0,853,8686,8,869,7524,323,700,721,2542,30240
10005,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,2344,0,79,0,110,95,2922
10012,2337,0,4335,0,251,72,130,852,151,1551,0,0,0,0,0,1639,10331,17,4789,492,351,0,435,3179,30912
10014,0,0,0,9389,443,320,932,190,800,0,0,593,0,0,0,420,9718,33,1179,3454,364,0,716,3299,31850
10015,1713,5973,2419,0,315,444,312,175,183,0,0,0,0,0,0,1801,10984,0,709,395,424,0,2421,3322,31590
10018,0,5437,0,0,192,872,601,178,473,921,0,640,0,0,0,378,9927,16,741,6610,449,0,1964,2028,31427
10019,2732,0,0,0,0,697,69,106,277,2148,13348,737,0,0,0,2582,2583,0,5763,0,172,0,185,4748,36147
10021,0,0,0,0,162,0,0,99,0,0,0,0,0,0,0,880,10548,0,0,0,0,0,0,1151,12840
10022,0,0,7598,0,488,62,337,429,582,0,0,0,0,0,0,2249,9610,0,734,4638,213,0,460,3293,30693
10023,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,3027,0,0,0,0,0,0,0,148,3412
10026,0,0,0,0,236,0,0,470,0,0,0,0,0,0,0,693,11309,9,0,0,0,0,0,769,13486
10027,0,0,0,6771,255,85,335,75,550,1177,0,0,0,0,0,492,9603,113,1247,5485,355,0,794,3068,30405
10032,0,0,0,6412,324,140,147,0,0,2932,0,0,0,0,0,0,0,0,0,0,93,0,393,3573,14014
10037,0,0,0,0,307,0,294,0,104,433,0,0,0,20314,0,0,0,0,920,0,104,0,235,1490,24201
10041,0,0,0,0,391,22,0,0,601,797,0,0,0,25455,0,0,0,0,808,0,195,0,336,1280,29885
10043,0,0,0,0,428,581,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,1462
10045,1341,0,4186,0,278,589,168,0,588,0,0,0,0,0,0,2567,10412,16,711,5336,223,0,566,3655,30636
10046,0,0,0,0,430,0,0,399,546,2274,0,0,0,18758,0,0,0,14,6875,78,89,0,273,452,30188
10049,0,5262,2479,0,379,1389,100,480,88,0,0,612,0,0,0,1796,10246,10,745,3369,381,0,562,3595,31493
10050,0,0,0,0,291,535,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,1841
10051,0,0,0,8050,379,88,140,108,340,621,0,414,0,0,0,2033,10201,0,455,3875,239,0,451,2892,30286
10053,0,0,5549,0,483,36,0,1193,675,723,0,0,0,0,0,0,9479,0,533,6654,271,0,516,3359,29471
10056,0,5523,2320,0,438,884,280,389,704,0,0,0,0,0,0,0,10048,16,0,6434,242,0,443,3252,30973
10058,0,5083,0,0,243,452,883,0,570,1391,0,0,0,0,0,2428,8519,0,1303,5109,213,0,552,3522,30268
10060,0,0,0,0,319,0,0,0,0,0,0,152,0,0,0,3906,0,15,0,0,0,0,0,276,4668
10068,0,0,0,0,203,1402,0,0,0,0,0,0,0,0,0,1896,0,0,0,0,0,0,0,145,3646
10077,0,0,0,0,307,19,383,449,0,0,0,0,0,0,0,1045,9048,0,857,0,93,0,122,2128,14451
10080,0,0,0,0,279,0,0,50,0,0,0,0,0,0,0,2978,0,0,0,0,0,0,0,307,3614
10081,0,0,1734,6315,515,68,123,0,624,697,0,466,0,0,0,1329,9597,33,632,5618,438,0,859,3349,32397
10082,0,5479,0,0,270,629,130,141,271,1389,0,470,0,0,0,386,9686,0,1432,5760,374,0,676,3397,30490
10083,0,0,4219,0,343,620,119,278,389,931,0,0,0,0,0,5310,9735,15,1040,4784,357,0,654,3332,32126
10084,1767,5491,2321,0,360,1040,1755,0,0,0,0,0,0,0,0,1061,10227,0,903,2382,399,0,473,2245,30424
10085,2167,7858,0,0,253,575,377,110,167,0,0,0,0,0,0,0,10302,0,316,3026,296,0,411,5358,31216
10088,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,2760,0,0,0,0,0,0,0,146,3231
10089,0,5551,0,0,306,959,312,0,0,1581,0,0,0,0,0,0,0,0,0,2478,121,0,129,1271,12708
10090,0,0,0,0,210,7,759,0,321,1104,0,0,0,25044,0,965,0,0,1055,0,93,0,241,558,30357
10092,6774,3126,0,0,195,1307,286,0,0,0,0,0,0,0,0,3658,0,0,0,0,87,0,725,1068,17226
10093,0,0,2598,6922,243,442,522,0,0,0,0,0,0,0,0,2867,0,0,0,1230,126,0,180,1748,16878
10094,0,0,5724,0,377,147,126,40,278,1249,0,560,0,0,0,2885,9709,0,909,5113,404,0,792,2638,30951
10095,0,0,0,0,297,160,297,161,0,0,0,0,0,0,0,1239,0,14,0,0,77,10859,1449,1269,15822
