id,sid,time,time2
18367,11502,27050,7:30:50
11462,11300,27070,7:31:10
19027,11504,27080,7:31:20
19627,11504,27090,7:31:30
15367,11502,27150,7:32:30
15670,11502,27220,7:33:40
13982,11502,27290,7:34:50
14819,11300,27300,7:35:00
14825,11502,27320,7:35:20
10196,11502,27430,7:37:10
11251,11502,27520,7:38:40
17054,11300,27520,7:38:40
17516,11504,27600,7:40:00
12573,11504,27700,7:41:40
10164,11300,27900,7:45:00
15801,11502,27910,7:45:10
13300,11300,27920,7:45:20
13339,11502,28050,7:47:30
18347,11502,28070,7:47:50
18689,11502,28080,7:48:00
16290,11502,28130,7:48:50
11143,11504,28250,7:50:50
11165,11504,28350,7:52:30
11778,11502,28350,7:52:30
11532,11300,28380,7:53:00
16111,11502,28440,7:54:00
14859,11502,28540,7:55:40
18123,11300,28590,7:56:30
15408,11502,28690,7:58:10
16065,11502,28820,8:00:20
10345,11502,28840,8:00:40
11876,11300,28850,8:00:50
12602,11300,29030,8:03:50
15152,11502,29030,8:03:50
16908,11507,29770,8:16:10
16310,11300,30100,8:21:40
12169,11504,30130,8:22:10
11026,11300,30230,8:23:50
13460,11300,30270,8:24:30
15343,11507,30470,8:27:50
16045,11502,30540,8:29:00
16615,11502,30550,8:29:10
12554,11502,30590,8:29:50
14860,11300,30590,8:29:50
15952,11502,30590,8:29:50
17886,11502,30590,8:29:50
18912,11502,30590,8:29:50
10984,11502,30600,8:30:00
15559,11300,30600,8:30:00
15587,11502,30600,8:30:00
15851,11502,30600,8:30:00
15869,11300,30600,8:30:00
19838,11504,30600,8:30:00
10427,11507,30610,8:30:10
11492,11300,30610,8:30:10
11691,11502,30610,8:30:10
12576,11300,30610,8:30:10
13606,11504,30610,8:30:10
13935,11502,30610,8:30:10
14573,11502,30610,8:30:10
14577,11300,30610,8:30:10
15342,11502,30610,8:30:10
15460,11504,30610,8:30:10
16327,11504,30610,8:30:10
17105,11504,30610,8:30:10
17763,11504,30610,8:30:10
17893,11300,30610,8:30:10
18063,11502,30610,8:30:10
18698,11502,30610,8:30:10
19469,11502,30610,8:30:10
10018,11300,30620,8:30:20
10221,11504,30620,8:30:20
10661,11300,30620,8:30:20
13209,11507,30620,8:30:20
14104,11300,30620,8:30:20
14632,11502,30620,8:30:20
15469,11502,30620,8:30:20
17284,11502,30620,8:30:20
18483,11504,30620,8:30:20
19718,11502,30620,8:30:20
19777,11502,30620,8:30:20
11534,11300,30630,8:30:30
11934,11502,30630,8:30:30
12840,11300,30630,8:30:30
14787,11502,30630,8:30:30
15323,11502,30630,8:30:30
15536,11502,30630,8:30:30
17053,11507,30630,8:30:30
17820,11504,30630,8:30:30
18204,11300,30630,8:30:30
18653,11300,30630,8:30:30
19182,11300,30630,8:30:30
10743,11502,30640,8:30:40
13132,11502,30640,8:30:40
13328,11502,30640,8:30:40
14363,11507,30640,8:30:40
14813,11300,30640,8:30:40
15050,11507,30640,8:30:40
15441,11300,30640,8:30:40
17947,11300,30640,8:30:40
18686,11507,30640,8:30:40
10528,11300,30650,8:30:50
10628,11502,30650,8:30:50
11089,11502,30650,8:30:50
11331,11504,30650,8:30:50
12813,11504,30650,8:30:50
12823,11502,30650,8:30:50
12891,11504,30650,8:30:50
15991,11300,30650,8:30:50
16433,11502,30650,8:30:50
16535,11502,30650,8:30:50
16776,11502,30650,8:30:50
17445,11504,30650,8:30:50
17633,11300,30650,8:30:50
18895,11502,30650,8:30:50
10511,11300,30660,8:31:00
11123,11502,30660,8:31:00
11894,11502,30660,8:31:00
12105,11504,30660,8:31:00
13245,11502,30660,8:31:00
13735,11502,30660,8:31:00
14052,11504,30660,8:31:00
14546,11504,30660,8:31:00
15026,11502,30660,8:31:00
16258,11502,30660,8:31:00
17863,11502,30660,8:31:00
18241,11504,30660,8:31:00
18556,11502,30660,8:31:00
18626,11300,30660,8:31:00
19261,11502,30660,8:31:00
19514,11502,30660,8:31:00
19553,11300,30660,8:31:00
14870,11502,30670,8:31:10
15248,11300,30670,8:31:10
15324,11507,30670,8:31:10
15461,11502,30670,8:31:10
17106,11300,30670,8:31:10
19588,11502,30670,8:31:10
11433,11502,30680,8:31:20
11853,11502,30680,8:31:20
13003,11507,30680,8:31:20
13021,11502,30680,8:31:20
14132,11502,30680,8:31:20
15176,11504,30680,8:31:20
19888,11502,30680,8:31:20
19957,11504,30680,8:31:20
10214,11300,30690,8:31:30
10669,11504,30690,8:31:30
10871,11504,30690,8:31:30
11525,11300,30690,8:31:30
12028,11504,30690,8:31:30
12032,11300,30690,8:31:30
12075,11300,30690,8:31:30
13746,11502,30690,8:31:30
13869,11504,30690,8:31:30
14261,11502,30690,8:31:30
15330,11502,30690,8:31:30
15539,11502,30690,8:31:30
16253,11502,30690,8:31:30
17874,11502,30690,8:31:30
18701,11300,30690,8:31:30
10147,11502,30700,8:31:40
10526,11502,30700,8:31:40
10858,11502,30700,8:31:40
11069,11502,30700,8:31:40
11252,11300,30700,8:31:40
11637,11502,30700,8:31:40
11836,11502,30700,8:31:40
12864,11504,30700,8:31:40
13688,11504,30700,8:31:40
15140,11502,30700,8:31:40
17768,11502,30700,8:31:40
19962,11502,30700,8:31:40
12918,11504,30710,8:31:50
14087,11502,30710,8:31:50
14444,11504,30710,8:31:50
14556,11504,30710,8:31:50
15632,11502,30710,8:31:50
16711,11300,30710,8:31:50
17533,11300,30710,8:31:50
18233,11502,30710,8:31:50
19149,11502,30710,8:31:50
12252,11502,30720,8:32:00
12551,11504,30720,8:32:00
13219,11502,30720,8:32:00
14256,11502,30720,8:32:00
16431,11300,30720,8:32:00
16601,11502,30720,8:32:00
17463,11507,30720,8:32:00
17623,11502,30720,8:32:00
19161,11300,30720,8:32:00
10785,11502,30730,8:32:10
10818,11502,30730,8:32:10
11966,11504,30730,8:32:10
11986,11504,30730,8:32:10
12620,11502,30730,8:32:10
13549,11504,30730,8:32:10
14516,11502,30730,8:32:10
15925,11507,30730,8:32:10
17519,11502,30730,8:32:10
17595,11504,30730,8:32:10
17815,11504,30730,8:32:10
18104,11507,30730,8:32:10
18664,11502,30730,8:32:10
18674,11502,30730,8:32:10
19012,11300,30730,8:32:10
19948,11504,30730,8:32:10
10083,11502,30740,8:32:20
10461,11502,30740,8:32:20
10961,11502,30740,8:32:20
12015,11502,30740,8:32:20
12193,11502,30740,8:32:20
12463,11502,30740,8:32:20
12686,11507,30740,8:32:20
12810,11300,30740,8:32:20
13899,11502,30740,8:32:20
14876,11300,30740,8:32:20
15817,11300,30740,8:32:20
15900,11502,30740,8:32:20
15914,11502,30740,8:32:20
16250,11504,30740,8:32:20
16505,11507,30740,8:32:20
16511,11300,30740,8:32:20
17116,11300,30740,8:32:20
17393,11507,30740,8:32:20
17914,11504,30740,8:32:20
18350,11300,30740,8:32:20
