id,value,date
19996,556.2166667,1
19995,229.5333333,1
19994,213.5666667,1
19993,223.9333333,1
19992,264.8833333,1
19990,416.6166667,1
19988,471.1333333,1
19986,386.1333333,1
19982,257.5166667,1
19976,231.05,1
19969,228.55,1
19966,179.0833333,1
19965,520.4833333,1
19964,393.25,1
19962,533.9833333,1
19961,166.2,1
19957,180.3333333,1
19948,528.6833333,1
19946,453.05,1
19945,234.6166667,1
19942,406.2166667,1
19941,142.5,1
19938,246.65,1
19933,541.05,1
19931,231.3166667,1
19930,52.05,1
19929,240.3,1
19925,525.9666667,1
19917,75.65,1
19916,559.6666667,1
19914,239.65,1
19912,170.1833333,1
19911,105.6833333,1
19910,82.15,1
19908,530.7833333,1
19907,198.3,1
19906,63.86666667,1
19903,257.9,1
19899,224.55,1
19897,513.8666667,1
19895,198.8833333,1
19888,241.2333333,1
19887,195.95,1
19886,550.35,1
19882,134.6,1
19879,218.9666667,1
19878,235.1666667,1
19874,238.6166667,1
19860,255.2333333,1
19857,110.0666667,1
19855,219.3666667,1
19845,89.45,1
19842,552.3166667,1
19839,244,1
19838,235.3166667,1
19835,507.4833333,1
19824,65.03333333,1
19823,235.2666667,1
19818,221.2333333,1
19813,518.3166667,1
19812,214.55,1
19810,95.58333333,1
19807,247.9,1
19804,62.08333333,1
19802,534.6166667,1
19799,227.7,1
19788,205.2,1
19787,238.5333333,1
19784,228.95,1
19781,74.68333333,1
19779,567.45,1
19777,412.4333333,1
19776,542,1
19769,525.95,1
19765,213.4,1
19761,240.6833333,1
19757,218.5166667,1
19756,228.3166667,1
19754,231.8,1
19750,65,1
19746,207.05,1
19743,234.75,1
19741,217.8,1
19739,57.66666667,1
19737,233.35,1
19736,211.5333333,1
19731,175.3,1
19727,516.15,1
19726,235.2333333,1
19723,237.35,1
19722,216.5666667,1
19716,547.8333333,1
19714,563.2666667,1
19709,236.85,1
19700,214.5166667,1
19699,91.41666667,1
19698,197.25,1
19694,33.21666667,1
19691,538.1666667,1
19690,544.5333333,1
19689,394.3,1
19688,521,1
19684,553.3333333,1
19682,380.5666667,1
19675,250.4333333,1
19670,251.6166667,1
19669,118.9666667,1
19659,203.85,1
19655,236.3166667,1
19652,207.9,1
19649,231.4833333,1
19645,265.45,1
19644,528.1833333,1
19642,200.9,1
19637,247.8333333,1
19635,566.4,1
19632,521.65,1
19629,202.4166667,1
19627,597.4666667,1
19625,521.0666667,1
19623,539.85,1
19622,235.5333333,1
19617,615.7166667,1
19612,124.6833333,1
19611,240,1
19608,235.2833333,1
19604,515.0666667,1
19601,238.3833333,1
19599,73.41666667,1
19597,235.4166667,1
19594,100.75,1
19593,224.7666667,1
19588,396.1833333,1
19585,203.1666667,1
19574,251.25,1
19571,219.6166667,1
19570,531.0666667,1
19566,229.8666667,1
19564,89.76666667,1
19560,220.5333333,1
19559,201.6,1
19557,533.6166667,1
19556,560,1
19554,532.4833333,1
19553,180.8666667,1
19551,236.1333333,1
19548,230.4333333,1
19547,556.45,1
19541,464.5333333,1
19540,518.4,1
19536,233.7833333,1
19528,164.15,1
19527,206.5,1
19525,455.5666667,1
19514,240.75,1
19512,561.7333333,1
19507,198.9833333,1
19494,226.8833333,1
19491,236.95,1
19487,396.55,1
19485,524.15,1
19482,180.1833333,1
19479,251.3666667,1
19475,134.8333333,1
19473,235.4,1
19472,253.7166667,1
19469,531.0333333,1
19461,211.55,1
19460,235.4,1
19448,226.9333333,1
19445,511.65,1
19444,233,1
19443,555,1
19442,208.1333333,1
19431,255.7166667,1
19427,258.4333333,1
19426,79.48333333,1
19425,524.15,1
19423,524.6166667,1
19422,165.3333333,1
19416,72.28333333,1
19415,245.9333333,1
19414,237.2166667,1
19409,214.5666667,1
19407,184.45,1
19406,233.9666667,1
19405,84.96666667,1
19403,245.7666667,1
19402,233.05,1
19401,546.8166667,1
19400,547.95,1
19399,231.2333333,1
19396,83.21666667,1
19395,236.7,1
19394,549.25,1
19387,544.7166667,1
19370,77.8,1
19367,76.33333333,1
19366,537.8333333,1
19365,526.2333333,1
19364,243.4,1
19363,253.8166667,1
19362,162.3833333,1
19360,61.03333333,1
19357,113.55,1
19356,486,1
19353,71.7,1
19347,234.1666667,1
19345,89.45,1
19339,134.2333333,1
19338,526.5,1
19334,228.1666667,1
19331,540.9166667,1
19326,556.6333333,1
19322,236.6833333,1
19321,546.6666667,1
19315,230.3833333,1
19310,264.1333333,1
19300,204.5666667,1
19299,563.6,1
19295,405.05,1
19293,226.3333333,1
19291,207.2166667,1
19290,56.66666667,1
19289,64.08333333,1
19288,154.6166667,1
19284,540.3666667,1
19278,478.5833333,1
19276,203.75,1
19275,221.6166667,1
19269,529.0833333,1
19267,215.0833333,1
19266,400.9,1
19265,247.0333333,1
19262,233.1833333,1
19261,549.75,1
19259,399.9833333,1
19257,221.25,1
19255,260.4333333,1
19254,222.6833333,1
19247,109.75,1
19238,249.8,1
19237,203.0166667,1
19236,235.1,1
19232,83.48333333,1
19231,548.8,1
19230,233.4666667,1
19229,209.3833333,1
19228,228.3666667,1
19224,258.1666667,1
19223,505.3166667,1
19222,234.2666667,1
19221,220.4,1
19218,526.9166667,1
19216,227.5833333,1
19215,157.3333333,1
19214,218.7666667,1
19209,155.8666667,1
19205,527.5166667,1
19204,251.7333333,1
19202,522.65,1
19196,255.5666667,1
19193,213.7333333,1
19192,553.3166667,1
19190,209.85,1
19182,207.0833333,1
19180,225.0166667,1
19178,203.6,1
19173,99.71666667,1
19172,495.95,1
19171,220.3166667,1
19165,235.3666667,1
19161,468.55,1
19157,541.45,1
19156,231.1666667,1
19155,254.4,1
19154,210.4333333,1
19151,75.08333333,1
19145,132.8166667,1
19143,519.3333333,1
19141,552.0166667,1
19138,81.21666667,1
19137,200.5833333,1
19131,532.6833333,1
19123,203.8166667,1
19115,471.9666667,1
19110,254.6833333,1
19107,263.9666667,1
19106,134.5,1
19104,533.8666667,1
19097,237.9166667,1
19095,231.4666667,1
19092,534.2,1
19091,226.2833333,1
19090,218.7833333,1
19089,236.7,1
19085,556.9166667,1
19083,196.2166667,1
19082,95.25,1
19079,242.6,1
19078,545.8333333,1
19076,511.0333333,1
19072,93.75,1
19063,242.5166667,1
19060,194.2166667,1
19056,204.7333333,1
19054,377.1666667,1
19053,93.4,1
19051,234.0666667,1
19049,64.61666667,1
19048,79.2,1
19045,520.4,1
19036,231.4166667,1
19034,391.6833333,1
19031,114.7833333,1
19027,608.55,1
19026,383.3333333,1
19023,208,1
19022,233.7833333,1
19019,237.4666667,1
19012,536.8166667,1
19011,556.3333333,1
19010,556.0666667,1
19009,525.8666667,1
19007,554.0333333,1
19006,224.7166667,1
19005,206.75,1
18999,215.2333333,1
18997,220.1833333,1
18996,255.8666667,1
18995,78.45,1
18993,210.7166667,1
18979,204.35,1
18977,537.1166667,1
18974,211.6333333,1
18972,215.9666667,1
18968,268.4833333,1
18964,211.7666667,1
18958,210.4333333,1
18956,201,1
18954,548.4166667,1
18953,493.2166667,1
18952,230.2833333,1
18950,204.7833333,1
18948,219.9,1
18946,235.7666667,1
18944,208.25,1
18933,537.4666667,1
18930,209.6666667,1
18924,230.6333333,1
18921,540.2166667,1
18919,215.5833333,1
18916,531.6166667,1
18914,209.8,1
18912,521.7333333,1
18910,199.3833333,1
18907,489.95,1
18906,205.0833333,1
18903,252.2833333,1
18902,68.68333333,1
18899,468.0833333,1
18898,206.0833333,1
18895,558.8833333,1
18894,185.0833333,1
18892,60.8,1
18887,226.8666667,1
18882,211.3666667,1
18881,216.8333333,1
