id,xdeal,ydeal
10000,1077.538793,430.0608708
10001,538.3809321,502.6333632
10002,1027.584409,363.9571163
10003,697.0971408,661.5040987
10004,1076.582122,446.7936875
10005,148.4702893,571.6509656
10012,771.0500292,691.1369932
10014,580.7523341,754.839956
10015,295.1218108,220.9088323
10018,926.0760139,788.4776055
10019,411.6556498,772.0540981
10021,648.3392885,750.8339318
10022,675.1362874,727.5375253
10023,548.0932906,533.4197075
10026,652.9307805,687.1897269
10027,756.7169602,787.7046376
10032,606.4362379,287.4180265
10033,181.0525483,522.0240524
10037,752.7081797,183.7359654
10041,828.6363397,178.7969072
10043,135.3262716,519.9788976
10045,691.5496951,668.4407858
10046,819.3483341,184.7459726
10049,978.1056221,710.0606524
10050,358.2499928,454.7092999
10051,777.1411691,759.8212674
10053,675.252731,756.412445
10056,735.7078389,697.9465189
10058,205.2044643,302.073833
10060,213.3865497,565.506619
10062,449.1428438,421.2438876
10068,326.1939708,486.300264
10070,215.615305,522.2377603
10077,628.9846761,778.6264906
10078,573.1106944,469.1221829
10080,478.3367744,124.4978807
10081,251.3351742,561.7209815
10082,952.0264881,669.5891409
10083,377.2562213,737.8498958
10084,668.8149209,747.0974911
10085,282.2978719,279.1012003
10087,330.2422005,545.5126368
10088,586.1068549,154.9239223
10089,266.7408481,517.5063968
10090,851.9601379,229.5091184
10091,440.262207,543.2146138
10092,530.4229277,558.4729471
10093,526.6218427,222.2306904
10094,939.7206883,750.2553676
10095,213.9312022,608.161417
10097,235.0302376,588.7335339
10098,486.5385217,530.2786341
10101,715.84059,762.1584225
10107,309.2844406,823.5423187
10108,217.1101825,516.33776
10109,541.5351408,160.2922551
10111,289.958168,336.7701281
10112,379.8332401,224.4083771
10115,283.7801639,333.8564071
10117,344.0051629,316.0667557
10118,228.7446553,451.2481866
10121,875.199684,252.8980314
10123,749.8304132,806.4070969
10126,213.1269358,483.2195744
10127,334.0314081,377.427158
10134,776.6210745,662.4376019
10135,596.8100238,186.1543832
10136,188.1596061,263.2568308
10137,951.8628448,447.1320989
10141,245.9319559,611.7328221
10142,651.7856823,293.8602887
10143,645.1645675,729.7893499
10145,235.7211407,281.2607184
10146,649.1950604,727.4975694
10147,296.0642658,573.0590456
10148,128.2149837,621.5703277
10150,252.8141527,293.7276247
10151,756.8745206,748.5391563
10152,652.704885,696.5995872
10155,592.9445054,182.6868129
10157,624.2425468,270.3285131
10160,1026.483764,689.5263987
10161,159.8442624,513.976068
10162,236.4878238,284.80618
10163,276.6183728,262.0492117
10164,794.011462,502.9349255
10167,372.0296141,746.7576445
10170,745.7567625,766.4064595
10171,319.8536623,558.3252616
10172,722.0234674,699.633673
10173,248.9007338,651.6156119
10174,479.4758143,303.3661825
10175,317.2080413,567.1618216
10178,722.9684689,772.6480221
10181,589.1463154,833.6964137
10182,419.416119,756.9852366
10183,201.9656455,596.2362721
10185,1072.287616,702.7564948
10186,285.0816187,573.4207306
10188,303.9350359,504.3853524
10190,168.5466472,415.1125555
10192,296.0079865,248.8421674
10193,1008.954701,372.1806758
10194,662.8034415,697.1635023
10196,879.2427306,552.3302972
10201,581.5997768,447.6693654
10202,477.0818752,431.5970825
10204,519.4015199,865.9329844
10205,287.6801365,245.3278147
10206,396.6661047,747.893635
10214,221.3812184,252.1476158
10215,982.6144995,467.2768252
10216,913.3437734,692.7216898
10217,279.2960794,590.6359082
10218,1070.486309,343.6585022
10221,1010.942153,719.8066007
10225,729.0439262,671.3049926
10228,547.4855627,316.2923907
10231,150.3118285,235.2691052
10232,808.5780666,107.526618
10233,233.0004826,308.4855297
10235,549.0619102,533.5911904
10236,261.6194782,451.9820624
10239,247.3578336,527.6021682
10240,976.8038352,668.1762806
10243,931.7290829,743.3834302
10245,389.7410495,655.1095945
10246,511.2650005,601.7705649
10248,302.6861001,532.789793
10249,423.4603453,744.8015307
10252,333.674154,223.6824651
10255,186.633837,534.9380677
10256,714.2142597,717.5207657
10258,145.3386723,515.7930052
10261,282.7920562,584.0171043
10262,163.0717977,606.7088961
10264,724.5481208,672.269147
10265,327.9707382,310.1315616
10266,1052.637155,376.5610092
10271,493.4365475,706.8692144
10272,418.6568106,764.2064955
10275,419.3108523,494.5960603
10279,218.1899596,593.9707789
10280,180.9935398,291.907089
10281,550.1954964,555.832017
10282,609.2579157,738.1827753
10284,748.6479025,167.7396519
10287,259.5930022,529.1097593
10289,153.5650708,588.7932202
10290,226.44104,574.479608
10291,189.9874553,535.7827215
10292,768.3886348,760.4390754
10293,794.3061067,777.8558527
10295,722.2310433,720.1558986
10296,224.7577049,570.7813993
10297,267.3453384,541.9162225
10298,954.5169487,804.1313462
10300,517.8170687,455.889974
10301,291.1557099,640.3560339
10305,269.4171957,535.4478196
10309,578.4282022,278.2765575
10310,473.2270655,431.9958785
10311,980.8570273,339.1849834
10314,268.6477358,581.8538092
10316,554.628814,265.9643145
10317,396.9066265,757.0325499
10319,231.1688113,307.2253693
10320,988.793402,470.2078462
10321,900.6847706,396.4984328
10322,242.7752554,630.8976041
10324,488.9021237,628.3728472
10325,744.3229754,761.2522888
10326,559.1408379,501.5099429
10329,407.0436376,820.1148839
10331,651.7057161,763.2781724
10334,229.6154635,304.4920595
10335,234.3535322,626.2020518
10336,176.013346,565.5026507
10339,530.8756923,218.6168402
10341,167.0947618,564.4925067
10345,813.9104716,463.049338
10346,300.9185682,522.6316685
10347,218.1978137,473.6943573
10349,744.7957766,739.2316242
10359,522.6622456,162.3049343
10362,943.8730729,701.4182469
10363,364.1335964,542.5795572
10367,708.6252606,690.7463315
10370,281.6356003,576.8699627
10373,702.3333686,783.1315221
10374,300.1927903,339.8441358
10375,768.8130149,746.8147502
10379,279.0311191,533.1684443
10381,231.8277289,582.2445963
10382,452.2372562,563.2275804
10383,702.4241704,731.3928113
10386,247.115698,502.6733388
10387,989.0065748,421.9565983
10388,805.713393,252.5478102
10391,602.7712322,256.1086349
10394,1036.4796,799.0925481
10396,522.6462878,528.3536891
10397,989.5570819,332.3507694
10399,542.3700753,181.9337947
10401,410.6863312,796.2670363
10402,688.2318274,736.3066897
10403,1037.984709,737.2198884
10404,711.6610511,748.8262416
10405,266.1155,471.3342681
10406,497.2715888,460.8507827
