time,confA,confB,confC,confD,signDesk,poster,wc1,wc2,wc3,room1,room2,room3,room4,room5,room6,exhibition,mainMeeting,serviceRoom,restaurant,relaxRoom,escalator,importExport,firstAisle,secondAisle
8:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1
8:10:00,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0
8:20:00,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,13,0
8:30:00,0,0,0,0,19,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,6,20,0
8:40:00,0,0,0,0,360,13,34,7,7,0,65,0,2,0,7,50,0,0,0,0,12,18,192,26
8:50:00,0,0,0,0,383,65,43,11,10,0,151,0,10,2,5,338,0,3,0,0,16,19,408,91
9:00:00,0,0,0,0,398,102,43,13,5,0,228,0,18,2,4,686,7,4,0,0,15,19,634,144
9:10:00,0,0,0,0,90,6,0,0,0,0,0,0,1,150,0,36,1347,5,0,0,6,0,1051,12
9:20:00,0,0,0,0,35,2,1,1,0,0,2,0,1,175,0,38,2435,3,0,0,2,1,26,6
9:30:00,0,0,0,0,31,8,0,0,0,0,4,0,2,176,0,42,2453,4,0,0,3,0,36,3
9:40:00,0,0,0,0,45,17,3,3,0,0,8,1,3,176,0,52,2432,3,0,1,3,6,65,5
9:50:00,0,0,0,0,52,13,12,43,12,0,2,1,1,176,0,78,2272,6,0,0,10,17,162,25
10:00:00,0,0,0,0,32,5,2,1,0,0,2,0,1,176,0,71,2537,4,0,0,2,19,48,12
10:10:00,0,0,0,0,23,13,2,1,2,0,3,0,0,176,0,77,2543,4,0,0,4,19,46,15
10:20:00,0,0,0,0,19,8,0,2,0,0,3,0,0,176,0,102,2545,3,0,3,2,19,36,10
10:30:00,0,0,0,0,27,17,6,53,4,0,3,0,1,176,0,125,2306,5,0,5,10,25,155,22
10:40:00,0,0,0,0,25,78,79,325,94,0,19,585,14,120,0,284,250,4,0,39,43,42,830,119
10:50:00,0,0,0,0,25,160,21,209,18,0,52,10,17,149,0,753,10,18,0,287,39,44,1032,114
11:00:00,0,0,0,0,21,8,9,0,2,0,10,0,2,174,1,106,1370,6,0,14,11,69,1156,13
11:10:00,0,0,0,0,23,4,0,0,0,0,7,0,2,176,7,55,2508,3,0,13,3,155,23,5
11:20:00,0,0,0,0,24,3,1,2,0,0,8,0,2,176,8,44,2517,4,0,17,2,156,24,4
11:30:00,0,0,0,0,25,5,0,7,1,0,9,0,2,176,9,38,2499,4,0,20,2,160,39,7
11:40:00,0,0,0,0,17,16,26,128,22,0,18,1,8,176,12,80,2022,4,0,33,16,216,187,34
11:50:00,0,0,0,0,11,20,1,0,2,0,16,0,8,175,53,55,2345,2,0,36,0,236,49,9
12:00:00,0,0,0,0,10,6,1,0,1,0,29,0,9,175,53,51,2362,2,0,43,2,237,26,11
12:10:00,0,0,0,0,7,0,1,0,12,0,0,0,1,5,53,6,2288,4,322,3,16,240,40,20
12:20:00,0,0,0,0,4,3,9,23,36,0,13,0,5,68,33,25,1094,9,431,41,120,472,496,136
12:30:00,0,0,0,0,7,7,4,11,36,0,31,0,8,143,32,27,0,2,1162,111,199,777,264,197
12:40:00,0,0,0,0,121,40,28,19,121,0,63,5,9,169,28,35,5,1,1116,305,24,855,183,111
12:50:00,0,0,0,0,146,131,48,39,168,0,148,0,16,174,11,91,0,5,365,691,25,934,365,138
13:00:00,0,0,0,0,131,201,37,36,58,0,192,3,19,177,10,194,0,6,132,1009,12,1018,454,49
13:10:00,0,0,0,0,49,168,22,10,7,0,244,1,23,178,10,482,0,4,124,1093,8,1070,357,42
13:20:00,0,0,0,0,19,116,9,10,21,0,257,1,24,180,9,684,0,6,123,1082,11,1106,196,38
13:30:00,0,0,0,0,20,44,13,9,26,0,255,0,24,180,8,847,1,3,127,983,12,1134,156,54
13:40:00,0,0,0,0,86,52,17,15,45,0,254,1,24,180,6,961,0,6,123,820,24,1161,169,70
13:50:00,0,0,0,0,70,82,31,21,55,0,255,3,25,183,4,1063,0,6,43,687,17,1200,276,94
14:00:00,2,7,2,5,83,117,32,34,61,0,236,3,19,179,1,959,0,4,33,490,27,1458,381,114
14:10:00,123,744,260,348,28,59,2,8,8,0,97,0,10,176,0,332,0,4,17,139,12,1634,261,34
14:20:00,169,928,369,373,19,21,1,1,7,0,91,0,9,176,0,302,0,3,1,75,11,1634,79,27
14:30:00,169,995,422,386,20,11,3,2,6,0,84,0,8,176,0,247,0,4,0,46,4,1635,63,17
14:40:00,169,1058,461,396,32,9,7,1,4,0,70,0,6,176,0,187,0,6,0,27,8,1634,61,12
14:50:00,168,1106,488,400,29,9,8,7,3,0,62,0,6,176,0,143,0,5,0,19,3,1634,71,12
15:00:00,90,1140,509,402,35,29,17,1,1,0,59,0,8,176,0,143,0,3,0,15,7,1634,90,12
15:10:00,2,1183,513,403,21,44,14,6,0,234,26,2,4,71,0,105,0,3,0,11,7,1634,91,9
15:20:00,110,1213,505,405,19,29,43,18,9,0,27,1,4,71,0,112,0,3,0,16,3,1661,119,15
15:30:00,166,1187,480,401,19,17,15,5,4,0,25,0,7,71,0,90,0,4,0,19,9,1739,119,6
15:40:00,211,853,293,327,19,105,175,14,11,0,31,0,9,71,0,128,0,6,0,29,13,1742,326,20
15:50:00,363,448,131,252,19,218,159,51,48,0,72,0,14,71,0,131,0,5,0,122,16,1743,485,35
16:00:00,468,136,25,127,19,238,194,44,34,0,129,0,18,71,0,140,0,4,0,345,33,1778,538,42
16:10:00,386,28,5,28,19,214,131,35,28,0,193,0,21,70,0,202,0,6,0,699,27,1831,417,43
