data,confA,confB,confC,confD,signDesk,poster,wc1,wc2,wc3,room1,room2,room3,room4,room5,room6,exhibition,mainMeeting,serviceRoom,restaurant,relaxRoom,escalator,importExport,firstAisle,secondAisle
7:0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:5:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:10:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:15:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:20:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:25:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:30:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:35:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,1,1
7:40:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,1,0,0
7:45:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0
7:50:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,2
7:55:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,3
8:0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1
8:5:0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,2
8:10:0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0
8:15:0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0
8:20:0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,13,0
8:25:0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,15,0
8:30:0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,6,20,0
8:35:0,0,0,0,0,310,4,1,0,0,0,33,0,0,0,6,1,0,0,0,0,2,15,60,2
8:40:0,0,0,0,0,360,13,34,7,7,0,65,0,2,0,7,50,0,0,0,0,12,18,192,26
8:45:0,0,0,0,0,369,43,44,13,6,0,111,0,6,1,7,166,0,1,0,0,13,22,307,62
8:50:0,0,0,0,0,383,65,43,11,10,0,151,0,10,2,5,338,0,3,0,0,16,19,408,91
8:55:0,0,0,0,0,387,83,49,7,9,0,192,0,16,2,3,506,5,3,0,0,15,16,519,118
9:0:0,0,0,0,0,398,102,43,13,5,0,228,0,18,2,4,686,7,4,0,0,15,19,634,144
9:5:0,0,0,0,0,411,6,8,7,1,0,5,2,1,68,0,126,557,3,0,0,18,6,1458,27
9:10:0,0,0,0,0,90,6,0,0,0,0,0,0,1,150,0,36,1347,5,0,0,6,0,1051,12
9:15:0,0,0,0,0,19,4,1,1,0,0,1,0,1,175,0,37,2133,3,0,0,3,0,320,6
9:20:0,0,0,0,0,35,2,1,1,0,0,2,0,1,175,0,38,2435,3,0,0,2,1,26,6
9:25:0,0,0,0,0,36,4,3,1,0,0,5,0,1,175,0,39,2442,3,0,0,3,0,32,5
9:30:0,0,0,0,0,31,8,0,0,0,0,4,0,2,176,0,42,2453,4,0,0,3,0,36,3
9:35:0,0,0,0,0,50,11,2,3,0,0,5,0,3,176,0,42,2452,3,0,0,2,5,37,4
9:40:0,0,0,0,0,45,17,3,3,0,0,8,1,3,176,0,52,2432,3,0,1,3,3,65,5
9:45:0,0,0,0,0,49,18,2,26,4,0,6,1,5,176,0,104,2239,9,0,1,10,5,171,18
9:50:0,0,0,0,0,52,13,12,43,12,0,2,1,1,176,0,78,2272,6,0,0,10,8,162,25
9:55:0,0,0,0,0,41,8,1,0,2,0,2,1,1,176,0,61,2511,3,0,0,3,3,60,12
10:0:0,0,0,0,0,32,5,2,1,0,0,2,0,1,176,0,71,2537,4,0,0,2,0,48,12
10:5:0,0,0,0,0,61,0,1,0,0,0,3,0,1,176,0,33,2540,3,0,0,3,0,83,5
10:10:0,0,0,0,0,23,13,2,1,2,0,3,0,0,176,0,77,2543,4,0,0,4,0,46,15
10:15:0,0,0,0,0,19,9,1,2,0,0,3,0,0,176,0,97,2545,3,0,1,2,0,37,14
10:20:0,0,0,0,0,19,8,0,2,0,0,3,0,0,176,0,102,2545,3,0,3,2,0,36,10
10:25:0,0,0,0,0,21,9,2,9,0,0,4,0,0,176,0,98,2518,4,0,4,3,1,52,12
10:30:0,0,0,0,0,27,17,6,53,4,0,3,0,1,176,0,125,2306,5,0,5,10,5,155,22
10:35:0,0,0,0,0,25,26,30,185,29,0,8,276,7,120,0,214,1231,11,0,10,21,15,669,45
10:40:0,0,0,0,0,25,78,79,325,94,0,19,585,14,120,0,284,250,4,0,39,43,2,830,119
