sid,number
10019,273
10110,575
10111,654
10112,733
10113,733
10114,735
10115,737
10116,737
10117,737
10118,738
10119,791
10201,5
10202,115
10203,269
10204,405
10205,490
10206,603
10207,270
10208,267
10209,227
10210,156
10211,506
10215,74
10216,104
10217,103
10218,110
10219,595
10220,216
10221,24
10222,25
10223,15
10224,13
10301,3
10302,153
10303,440
10304,773
10305,1122
10306,1911
10307,806
10308,709
10309,735
10310,514
10311,77
10315,218
10316,229
10317,282
10318,251
10319,234
10320,183
10321,352
10322,62
10323,59
10324,71
10325,72
10326,0
10327,1
10401,5
10402,116
10403,311
10404,498
10405,663
10406,2219
10407,1304
10408,1385
10409,4985
10410,2594
10411,872
10415,379
10416,363
10417,471
10418,421
10419,209
10420,190
10421,742
10422,574
10423,496
10424,404
10425,544
10426,124
10427,2
10501,2
10502,132
10503,389
10504,657
10505,961
10506,2818
10507,1399
10508,2005
10509,7887
10510,3201
10511,1108
10515,537
10516,430
10517,494
10518,597
10519,24
10520,180
10521,1675
10522,788
10523,661
10524,549
10525,1324
10526,178
10527,8
10601,4
10602,141
10603,371
10604,579
10605,777
10606,2971
10607,1543
10608,1987
10609,6180
10610,180
10611,181
10615,858
10616,499
10617,471
10618,868
10619,24
10620,156
10621,2971
10622,828
10623,698
10624,596
10625,2211
10626,166
10627,16
10701,2
10702,142
10703,414
10704,680
10705,940
10706,3176
10707,1825
10708,1719
10709,6819
10710,1400
10711,316
10715,1329
10716,287
10717,311
10718,1250
10719,21
10720,162
10721,3786
10722,585
10723,1006
10724,614
10725,2777
10726,170
10727,17
10801,4
10802,136
10803,430
10804,717
10805,1013
10806,3430
10807,1583
10808,1590
10809,6131
10810,684
10811,471
10815,1518
10816,269
10817,242
10818,1514
10819,18
10820,182
10821,4529
10822,655
10823,1691
10824,654
10825,3120
10826,147
10827,14
10901,2
10902,134
10903,396
10904,626
10905,873
10906,2704
10907,2004
10908,1848
10909,8129
10910,1656
10911,245
10915,1828
10916,348
10917,387
10918,1810
10919,13
10920,176
10921,5307
10922,722
10923,2187
10924,745
10925,3437
10926,163
10927,13
11006,1773
11007,1283
11008,2496
11009,8564
11010,289
11011,271
11015,1606
11016,1345
11017,1065
11018,1867
11019,6
11020,194
11021,6282
11022,915
11023,2568
11024,896
11025,3712
11026,196
11027,11
11106,1620
11107,784
11108,1482
11109,10886
11110,1849
11111,307
11115,491
11116,3513
11117,4338
11118,504
11119,2
11120,3
11121,6706
11122,706
11123,2187
11124,538
11125,3296
11126,2
11127,2
11202,8
11203,28
11204,50
11205,73
11206,1891
11207,546
11208,756
11209,3420
11210,8246
11211,3836
11212,2973
11213,2592
11214,2236
11215,1843
11216,3284
11217,4500
11218,3708
11219,4280
11220,6032
11221,8103
11222,1734
11223,2247
11224,1014
11225,3367
11226,1531
11227,579
11228,79
11300,848
11301,852
11302,1167
11303,1059
11304,1050
11305,2760
11306,2133
11307,2019
11308,2244
11309,2703
11310,6157
11311,6919
11312,5771
11313,6129
11314,6567
11315,7169
11316,6769
11317,7189
11318,7482
11319,6983
11320,5959
11321,5163
11322,4923
11323,3370
11324,3852
11325,3901
11326,4749
11327,5666
11328,2662
11401,78
11402,2312
11403,2803
11404,3909
11405,2368
11406,1165
11407,1133
11408,789
11409,598
11410,10145
11411,10538
11412,4915
11413,4893
11414,4863
11415,5191
11416,3626
11417,3484
11418,2378
11419,2073
11420,1199
11421,242
11422,1392
11423,342
11424,582
11425,143
11426,43
11427,2600
11428,2015
11502,1585
11504,859
11505,836
11507,273
11515,1608
11517,848
11519,6
11520,15
11521,95
11522,155
11523,220
11524,113
11525,41
11526,23
11527,899
11528,689
20110,575
20111,575
20202,59
20203,127
20204,176
20205,326
20206,362
20207,20
20208,91
20209,377
20210,239
20211,8
20302,96
20303,195
20304,199
20305,139
20306,119
20307,365
20308,319
20309,234
20310,132
20311,0
20402,115
20403,229
20404,423
20405,265
20406,193
20407,620
20408,663
20409,2409
20410,1657
20411,580
20502,91
20503,323
20504,486
20505,1252
20506,1266
20507,204
20508,773
20509,4070
20510,1986
20511,701
20602,121
20603,244
20604,634
20605,404
20606,489
20607,673
20608,1036
20609,2975
20610,67
20611,55
20702,76
20703,326
20704,281
20705,925
20706,452
20707,842
20708,967
20709,3111
20710,322
20711,55
20802,79
20803,282
20804,821
20805,2247
20806,2715
20807,742
20808,910
20809,2982
20902,59
20903,131
20904,196
20905,94
20906,1646
20907,1924
20908,1053
20909,2945
21001,9
21002,57
21003,163
21004,283
21005,401
21006,1422
21007,1545
21008,1850
21009,3020
21101,7
21102,52
21103,144
21104,239
21105,334
21106,1265
21107,1103
21108,1943
21109,3692
21206,1022
21207,886
21208,1497
21209,3219
21210,1643
21211,10
21300,168
21301,456
21302,600
21303,742
21304,803
21305,279
21306,1195
21307,780
21308,817
21309,3285
21310,2957
21311,122
21400,193
21401,641
21402,1145
21403,2000
21404,2715
21405,5429
21406,5611
21407,3972
21408,3919
21409,4472
21410,10097
21411,10124
21500,154
21501,363
21502,635
21503,660
21504,903
21505,296
