sid,number
10019,300
10110,1400
10111,1444
10112,868
10113,868
10114,868
10115,868
10116,868
10117,868
10118,868
10119,873
10201,3
10202,159
10203,441
10204,634
10205,785
10206,906
10207,382
10208,331
10209,321
10210,452
10211,593
10215,359
10216,195
10217,136
10218,121
10219,601
10220,207
10221,18
10222,21
10223,12
10224,12
10301,7
10302,218
10303,648
10304,1103
10305,1648
10306,2684
10307,1182
10308,1002
10309,1149
10310,669
10311,79
10315,990
10316,462
10317,289
10318,302
10319,202
10320,228
10321,393
10322,101
10323,97
10324,109
10325,109
10326,1
10327,1
10401,4
10402,224
10403,580
10404,897
10405,1201
10406,3321
10407,1808
10408,1964
10409,6656
10410,3402
10411,1188
10415,1650
10416,669
10417,410
10418,516
10419,170
10420,189
10421,843
10422,704
10423,634
10424,521
10425,701
10426,166
10427,1
10501,3
10502,248
10503,735
10504,1235
10505,1840
10506,4595
10507,2207
10508,2772
10509,10558
10510,4232
10511,1426
10515,1914
10516,788
10517,455
10518,729
10519,16
10520,194
10521,1877
10522,922
10523,756
10524,637
10525,1584
10526,215
10527,10
10601,2
10602,155
10603,419
10604,669
10605,882
10606,4242
10607,2187
10608,2694
10609,8403
10610,219
10611,206
10615,2216
10616,760
10617,580
10618,1053
10619,20
10620,200
10621,3383
10622,1006
10623,854
10624,750
10625,2671
10626,202
10627,12
10701,5
10702,165
10703,461
10704,776
10705,1146
10706,4344
10707,2477
10708,2602
10709,9363
10710,1574
10711,348
10715,2225
10716,378
10717,409
10718,1511
10719,21
10720,235
10721,4400
10722,785
10723,1282
10724,814
10725,3353
10726,213
10727,15
10801,3
10802,78
10803,259
10804,463
10805,652
10806,4118
10807,2077
10808,2393
10809,8886
10810,721
10811,475
10815,2524
10816,352
10817,305
10818,1856
10819,23
10820,205
10821,5134
10822,779
10823,2001
10824,808
10825,3704
10826,206
10827,17
10901,2
10902,108
10903,296
10904,442
10905,586
10906,3115
10907,2637
10908,2709
10909,11024
10910,1603
10911,240
10915,3348
10916,525
10917,463
10918,2364
10919,19
10920,214
10921,6026
10922,936
10923,2503
10924,901
10925,4029
10926,207
10927,17
11006,2240
11007,1571
11008,3319
11009,11809
11010,481
11011,394
11015,3079
11016,1695
11017,1367
11018,2321
11019,14
11020,224
11021,6885
11022,940
11023,2755
11024,1008
11025,4175
11026,199
11027,8
11106,2057
11107,1072
11108,1884
11109,14774
11110,2892
11111,473
11115,667
11116,5237
11117,5077
11118,574
11119,3
11120,4
11121,7314
11122,770
11123,2329
11124,583
11125,3660
11126,0
11127,0
11202,9
11203,28
11204,48
11205,72
11206,2365
11207,726
11208,999
11209,4434
11210,10708
11211,5052
11212,3825
11213,3368
11214,2942
11215,2484
11216,5027
11217,5231
11218,4131
11219,4737
11220,6634
11221,8908
11222,1949
11223,2454
11224,1225
11225,3851
11226,1812
11227,792
11228,110
11300,1022
11301,1026
11302,1387
11303,1233
11304,1272
11305,3370
11306,2659
11307,2448
11308,2677
11309,3263
11310,7565
11311,8726
11312,7252
11313,7660
11314,8195
11315,9013
11316,7878
11317,8308
11318,8678
11319,8234
11320,7137
11321,6164
11322,5874
11323,4469
11324,4889
11325,4993
11326,5854
11327,6820
11328,3643
11401,92
11402,2896
11403,3382
11404,4672
11405,2818
11406,1353
11407,1267
11408,873
11409,695
11410,11606
11411,12089
11412,5525
11413,5492
11414,5444
11415,6011
11416,4042
11417,3903
11418,2577
11419,2212
11420,1221
11421,224
11422,1229
11423,280
11424,500
11425,246
11426,69
11427,2813
11428,2830
11502,2058
11504,1054
11505,1032
11507,300
11515,2109
11517,993
11519,4
11520,11
11521,88
11522,127
11523,168
11524,98
11525,75
11526,42
11527,948
11528,1013
20110,1404
20111,1402
20202,89
20203,167
20204,295
20205,580
20206,638
20207,58
20208,262
20209,1038
20210,465
20211,10
20302,131
20303,289
20304,293
20305,209
20306,189
20307,731
20308,790
20309,515
20310,206
20311,3
20402,169
20403,343
20404,583
20405,353
20406,307
20407,1122
20408,867
20409,3056
20410,2011
20411,711
20502,157
20503,513
20504,727
20505,1986
20506,1970
20507,264
20508,1053
20509,5512
20510,2802
20511,963
20602,149
20603,385
20604,870
20605,660
20606,617
20607,826
20608,1415
20609,3914
20610,60
20611,40
20702,129
20703,458
20704,456
20705,1196
20706,618
20707,1029
20708,1276
20709,3906
20710,313
20711,58
20802,143
20803,428
20804,1068
20805,2797
20806,3295
20807,922
20808,1237
20809,3705
20902,98
20903,199
20904,281
20905,131
20906,2043
20907,2248
20908,1365
20909,3629
21001,3
21002,60
21003,161
21004,272
21005,415
21006,1863
21007,1764
21008,2162
21009,3718
21101,3
21102,61
21103,161
21104,250
21105,372
21106,1823
21107,1275
21108,2140
21109,4459
21206,1575
21207,1078
21208,1632
21209,3725
21210,1951
21211,17
21300,186
21301,520
21302,717
21303,900
21304,916
21305,326
21306,1815
21307,981
21308,872
21309,3739
21310,3416
21311,145
21400,228
21401,816
21402,1467
21403,2421
21404,3350
21405,6731
21406,6944
21407,4545
21408,4469
21409,5123
21410,11562
21411,11591
21500,193
21501,395
21502,707
21503,792
21504,1106
21505,340
